REF;DESIGNATION;QUANTITE STOCK;CATEGORIE;INUTILE;INUTILE2;INUTILE OU INEXPLOITE;BENEFICIAIRE OU N°COMMANDE;INUTILE3;MACHINE;FOURNISSEUR;REF FOURNISSEUR;Colonne9;STOCK MINI;INUTILE4;DATE ENTREE;INUTILE OU FUTUR DATE DE SORTIE
SBC18L;CIBLE PZT 200 MM;1;Cibles / Slugs;Depot;;;4000328254 RODRIGUEZ;140;END 5500D;PTS;NC;0;0;;12/09/2012;  /  /    
SBC18LU;CIBLE PZT 200 MM;1;Cibles / Slugs;Depot;;;4000328254 RODRIGUEZ;140;END 5500D;PTS;NC;0;0;;06/09/2016;  /  /    
SBC59L;CIBLE SB (DIAMETRE 6.16,EPAISSEUR 0.118);1;Cibles / Slugs;Depot;106;AMAT;;434;END 300B;JX;FNR-SBG-R00547B;1;1;;29/09/2016;  /  /    
SBC28L;CIBLE SILICIUM 5N DIAM 13.558'' EP 0.125'' ANGLE45;1;Cibles / Slugs;Depot;;;;140;END 5500D;PTS;nc;1;1;;15/09/2017;  /  /    
SBC44L;CIBLE TA 99,99 % DIAM 100 mm x 6 mm ep.;1;Cibles / Slugs;;;;;;;PTS;NC;0;0;;22/01/2014;  /  /    
SBC02L;CIBLE TITANE 4N5 ENDURA G12 BHT;1;Cibles / Slugs;Depot;;;;;;PRAXAIR;MRCFTI0022940;0;1;;24/10/2018;  /  /    
SBC05L;CIBLE TITANE 4N5 ENDURA G4 41.01;1;Cibles / Slugs;;;;;;;PRAXAIR;MRCFTI0022171;0;2;;08/08/2018;  /  /    
SBC25L;CIBLE TITANE DIAM 100 MM EP 6 MM ;1;Cibles / Slugs;;;;;;;NEYCO;nc;0;0;;05/06/2013;  /  /    
SBC66L;CIBLE ZB/A AL DIAX0.276 5N5;1;Cibles / Slugs;Depot;100;AAA - Non définie;;;;TOSOH;4444H-13-000-550;1;1;;14/09/2017;  /  /    
SBC60LU;CIBLE ZR ENDURA A 200MM CHD TOP HAT PETIT DIAMETRE;1;Cibles / Slugs;Depot;100;AAA - Non définie;;137;END 5500A;JX;*;1;0;;18/02/2016;  /  /    
CIBLEPLATINUM;PLATINUM 4 N END 200 TOPHAT 13inD X 0,170inTH SOLDERBOND;1;Cibles / Slugs;;;;;;;;;;;;04/03/2019;
;;;;;;;;;;;;;;;;
