SIL_200_161;SOI_P/B(100)625µm_0.5-50µm_N/P(100)10-20_OHMCM;;25
SIL_200_162;SOI_P/B(100)625µm_0.5-100µm_N/P(100)10-20_OHMCM;;50
SIL_200_163;SIL_N+_ARSENIC_<111>_1.5-5OHM_DEPOT_ALN;;200
SIL_200_164;SIL_(100)725µm 1-2OHM*CM TTV3.5µm;;3
SIL_200_165;SOI 90µm-1µm_725µm_725-375_OHMS;;21
SIL_200_166;SOI 1µm BOX 1µm;;11
SIL_200_167;SOI 2µm-1µm_725_1-30_OHMS;;9
SIL_200_168;SOI 145NM-1000NM_725µm;;14
SIL_200_169;SOI 1000NM-1000NM_725µm;;4
SIL_200_170;SOI 60µm-1µm_CZ_(100)725µm_750-375OHM;;15
SIL_200_171;SOI 160NM-400NM_725µm_HR;;2
SIL_200_172;SOI 135µm-1µm_725µm_725-375_OHMS;;22
SIL_300_101;VERRE_BOROFLOAT33_700UM_DSP_TTV<5UM;;93
SIL_300_102;SILICIUM_P_MONITOR_CZ_<100>_775UM_1-100OHM_DSP;;1289
SIL_300_102Sas;SILICIUM_P_MONITOR_CZ_<100>_775UM_1-100OHM_DSP;;100
SIL_300_102 STOCK RIVES;SILICIUM_P_MONITOR_CZ_<100>_775UM_1-100OHM_DSP;;2700
SIL_300_104;SILICIUM_P_EXTRA-PRIME_CZ_<100>_775UM_10-20OHM_DSP;;100
SIL_300_105 STOCK RIVES;SILICIUM_P_PRIME_CZ_<100>_775UM_10-20OHM_DSP;;450
SIL_300_105;SILICIUM_P_PRIME_CZ_<100>_775UM_10-20OHM_DSP;;126
SIL_300_106;SILICIUM_N_PRIME_CZ_<100>_775UM_20-60OHM_DSP;;253
SIL_300_106 STOCK RIVES;SILICIUM_N_PRIME_CZ_<100>_775UM_20-60OHM_DSP;;175
SIL_300_109;SILICIUM_RECYCLE-NON-CONTAMINE_GRADE_1_MINI-700UM;;293
SIL_300_109Sas;SILICIUM_RECYCLE-NON-CONTAMINE_GRADE_1_MINI-700UM;;50
SIL_300_109 STOCK RIVES;SILICIUM_RECYCLE-NON-CONTAMINE_GRADE_1_MINI-700UM;;1525
SIL_300_110 STOCK RIVES;SILICIUM_RECYCLE-NON-CONTAMINE_GRADE_2_MINI-700UM;;500
SIL_300_110;SILICIUM_RECYCLE-NON-CONTAMINE_GRADE_2_MINI-700UM;;242
SIL_300_117A;SOI_PRIME_12NM-25NM_P_CZ_<100>_775UM_10-15OHM_0°OF;;26
SIL_300_121;SI_SOI_PRIME_88NM-145NM_P_CZ_(100)_775µm_9-15OHM;;35
SIL_300_122 STOCK RIVES;VERRE_BOROFLOAT33_500UM_DSP_TTV<5UM;;124
SIL_300_122;VERRE_BOROFLOAT33_500UM_DSP_TTV<5UM;;25
SIL_300_128;SOI_PRIME_16NM-145NM_P_CZ_<100>_775UM_10-15OHM_0°;;468
SIL_300_143 STOCK RIVES;300_143 RIVES;;50
SIL_300_143;300_143;;0
SIL_300_144;SOI_PRIME_12NM-145NM_P_CZ_<100>_775UM_10-15OHM;;3
SIL_300_147A;SILICIUM_P+_PRIME_FR_<100>_775UM_1,08-1,8OHM_DES4°;;136
SIL_300_148A;SOI_PRIM_14-25NM_P_<100>_775UM_0°OF_10-15OHM_Ra0.2;;52
SIL_300_149A;SOI_PRIME_310NM-720NM;;88
SIL_300_150;SOI_MON_14-25NM_P_<100>_775UM_0°OF_10-15OHM_Ra0.08;;1
SIL_300_151;CARRIER-ZONE-BOND_3MM;;70
SIL_300_152A;UTBOX15_PRO_PRIME_12-15NM_LOW-Ra;;0
SIL_300_152A STOCK RIVES;UTBOX15_PRO_PRIME_12-15NM_LOW-Ra;;100
SIL_300_153;SOI_MONITOR_14NM-20NM_10-15OHM;;3
SIL_300_155 STOCK RIVES;300_155 RIVES;;100
SIL_300_155;300_155;;75
SIL_300_157;SOI_P_<100>_10-15OHM ;;28
SIL_300_158A;SOI_PRIME_220NM-2000NM_P_CZ_<100>_775UM ;;59
SIL_300_159;VERRE_EAGLE-XG_700UM_DSP_TTV<5UM;;178
SIL_300_160A;SILICIUM P <100> 0.5° orientation ;;61
SIL_300_162;SOI_PRIME_15-20NM_P_<100>_775µm_9-15OHMS;;53
SIL_300_167A;300MM-SOI-310-720NM;;25
SIL_300_168A;SIL MONITOR CZ(100)775µm 1-100OHM*CMSFQR 26*8MM ;;100
SIL_100_009;100_P_BORON_FZ(100)525um_1-5_ohm;;57
SIL_100_010;100_P_BORON_FZ(100)525um_1-5_ohm_off-0,15;;25
SIL_100_011;100_N_PH_FZ(100)525um_1-5_ohm;;75
SIL_300_163A;;;0
SIL_300_165A;;;0
SIL_300_166;;;0
SIL_200_173;WAF.RAW 200 M M RESERV_SILICIUM_P_MONITOR_B_111_725UM_1-100_OHM_TTV<4UM;;175
SIL_300_174;300mm soi 70-145nm;;50
SIL_300_121A;300MM_SOI_PRIME_DECLASSE_88NM-145NM_P_CZ (100)_775UM_9-15 OHM;;100
