;;;;;;;;;;;;;;;;;;;;;;;
Filiale;site;n° parc GT;Categorie vehicule;Souscategorie vehicule;Date incorporation;Mode acquisition;Marque;Modele;Propriétaire;Immatriculation;Date miseenservice;Num serie;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;486793;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;04/12/2013;Achat occasion;YALE;MC 12;GT LOGISTICS;;01/10/2008;B8660T00004F;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;490307;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL =<2.5T;01/10/2006;Location longue durée;FENWICK;E14;DIVERS ;;01/10/2006;H2X335NO3717;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;490308;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;01/10/2006;Location longue durée;FENWICK;R14;DIVERS ;;01/10/2006;G1X115NO1883;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;496762;GTX ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR ACCOMPAGNANT;04/10/2016;Location longue durée;YALE;MP16;GT LOGISTICS;;01/01/2016;A428T03629P;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;496763;GTX ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR ACCOMPAGNANT;04/10/2016;Location longue durée;YALE;MP16;GT LOGISTICS;;01/01/2016;A428T03628P;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495536;GTX ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;01/11/2013;Location longue durée;BT;LPE240;TOYOTA MATERIAL HANDLING;;01/11/2013;6271227;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495537;GTX ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;01/11/2013;Location longue durée;BT;LPE240;TOYOTA MATERIAL HANDLING;;01/11/2013;6271228;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495538;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;01/11/2013;Location longue durée;BT;RRE160;TOYOTA MATERIAL HANDLING;;01/11/2013;6272496;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495539;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;01/11/2013;Location longue durée;BT;RRE160;TOYOTA MATERIAL HANDLING;;01/11/2013;6272739;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495540;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;01/11/2013;Location longue durée;BT;RRE160;TOYOTA MATERIAL HANDLING;;01/11/2013;6272740;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495541;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;01/11/2013;Location longue durée;BT;RRE160;TOYOTA MATERIAL HANDLING;;01/11/2013;6272741;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495542;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100 BALEA;TOYOTA MATERIAL HANDLING;;01/12/2013;6278909;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495543;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100 BALEA;TOYOTA MATERIAL HANDLING;;01/12/2013;6279153;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495544;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100 BALEA;TOYOTA MATERIAL HANDLING;;01/12/2013;6280083;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495545;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100 BALEA;TOYOTA MATERIAL HANDLING;;01/12/2013;6280340;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495546;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100 BALEA;TOYOTA MATERIAL HANDLING;;01/12/2013;6281171;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495547;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100 BALEA;TOYOTA MATERIAL HANDLING;;01/12/2013;6281355;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495548;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100 BALEA;TOYOTA MATERIAL HANDLING;;01/12/2013;6282146;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495549;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100 BALEA;TOYOTA MATERIAL HANDLING;;01/12/2013;6282373;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495550;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/11/2013;Location longue durée;BT;OME100 H;TOYOTA MATERIAL HANDLING;;01/11/2013;6273059;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495551;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;01/12/2013;Location longue durée;BT;SPE200;TOYOTA MATERIAL HANDLING;;01/12/2013;6274925;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495552;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;01/11/2013;Location longue durée;BT;SPE200;TOYOTA MATERIAL HANDLING;;01/12/2013;6274920;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495553;GTX ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR ACCOMPAGNANT;01/12/2013;Location longue durée;BT;LWE160;TOYOTA MATERIAL HANDLING;;01/12/2013;6272448;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495934;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;11/09/2014;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;10/09/2014;6315341;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495935;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;11/09/2014;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;10/09/2014;6315342;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495936;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;11/09/2014;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;10/09/2014;6315605;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;495937;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;11/09/2014;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;10/09/2014;6315606;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;496990;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2015;Location longue durée;BT;LWE160;TOYOTA MATERIAL HANDLING;;01/11/2015;6397401;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;496991;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL =<2.5T;01/12/2016;Location longue durée;BT;8FBET16;TOYOTA MATERIAL HANDLING;;01/11/2016;11266;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;497029;GTX ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;03/02/2017;Location longue durée;BT;LPE240;TOYOTA MATERIAL HANDLING;;03/02/2017;6473021;;;;;;;;;;;
GT LOGISTICS.02;NTN CRAN GEVRIER;497040;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;03/02/2017;Location longue durée;BT;RRE160;TOYOTA MATERIAL HANDLING;;03/02/2017;6477202;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;487486;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;13/11/2017;Achat occasion;BT;LWE180;GT LOGISTICS;;01/12/2012;6201618;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495556;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 2.5T<>=5T;07/04/2014;Location longue durée;BT;8FBMT35;TOYOTA MATERIAL HANDLING;;01/04/2014;8FBMT35-10241;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495559;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;02/12/2013;Location longue durée;BT;SPE200;TOYOTA MATERIAL HANDLING;;01/12/2013;6274921;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495561;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;01/12/2013;Location longue durée;BT;RRE160;TOYOTA MATERIAL HANDLING;;01/12/2013;6271062;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495562;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;02/12/2013;Location longue durée;BT;RRE160;TOYOTA MATERIAL HANDLING;;01/12/2013;6271063;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495564;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;02/12/2013;Location longue durée;BT;RRE160;TOYOTA MATERIAL HANDLING;;01/12/2013;6271318;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495566;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;02/12/2013;Location longue durée;BT;RRE160;TOYOTA MATERIAL HANDLING;;01/12/2013;6271319;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495567;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;02/12/2013;Location longue durée;BT;RRE160;TOYOTA MATERIAL HANDLING;;01/12/2013;6271320;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495568;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/12/2013;6276956;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495569;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/12/2013;6277211;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495570;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/12/2013;6277402;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495571;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/12/2013;6277778;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495572;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/12/2013;6278252;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495573;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/12/2013;6279147;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495574;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/12/2013;6279148;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495575;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/12/2013;6279635;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495576;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/12/2013;6279636;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495577;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/12/2013;6279892;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495578;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/12/2013;6280336;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495579;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/12/2013;6280546;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495580;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;01/12/2013;Location longue durée;BT;OME100 H;TOYOTA MATERIAL HANDLING;;01/12/2013;6273057;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495581;GTX ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;01/12/2013;Location longue durée;BT;LPE240;TOYOTA MATERIAL HANDLING;;01/12/2013;6270835;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495582;GTX ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;01/12/2013;Location longue durée;BT;LPE240;TOYOTA MATERIAL HANDLING;;01/12/2013;6270836;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495583;GTX ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR ACCOMPAGNANT;01/12/2013;Location longue durée;BT;LWE160;TOYOTA MATERIAL HANDLING;;01/12/2013;6272459;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495584;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;01/12/2013;Location longue durée;BT;SWE080;TOYOTA MATERIAL HANDLING;;01/12/2013;6009741;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;495723;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;14/02/2014;Location longue durée;BT;SPE200;TOYOTA MATERIAL HANDLING;;14/02/2014;6290439;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;496514;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;01/11/2015;Location longue durée;BT;SWE080L;TOYOTA MATERIAL HANDLING;;01/01/2015;6380715;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;496515;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;06/10/2015;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/01/2015;6383776;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;496516;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;06/10/2015;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/01/2015;6383777;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;496997;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;06/10/2016;Location longue durée;BT;SWE080L;TOYOTA MATERIAL HANDLING;;01/10/2016;6390368;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;496998;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;06/10/2016;Location longue durée;BT;OSE100;TOYOTA MATERIAL HANDLING;;01/01/2016;6353717;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;497643;GTX ENGIN MAGASINAGE;CHARIOT NACELLE;01/12/2017;Mise à disposition;BT;OP1000 HSE;TOYOTA MATERIAL HANDLING;;01/12/2017;6155079;;;;;;;;;;;
GT LOGISTICS.02;NTN ST VULBAS;497649;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;01/12/2017;Mise à disposition;BT;A RENSEIGNER;TOYOTA MATERIAL HANDLING;;01/12/2017;508027;;;;;;;;;;;
