﻿Filiale;site;n° parc GT;Categorie vehicule;Souscategorie vehicule;Poids;Date mise en service;Mode acquisition;Marque;Modele;Fournisseur;Immatriculation;Date 1ere immatriculation;Num serie;Commentaires;Ptac;Ptr;Puissance fiscale;Genre;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497734;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;17/07/2017;Mise à disposition;HYSTER;J1.60;PSA Vesoul;;01/01/2002;1197;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497735;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;17/07/2017;Mise à disposition;HYSTER;J1.60;PSA Vesoul;;01/01/2002;1199;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497736;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;17/07/2017;Mise à disposition;HYSTER;J1.60;PSA Vesoul;;01/01/2002;1212;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497737;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;17/07/2017;Mise à disposition;HYSTER;J1.60;PSA Vesoul;;01/01/2003;1250;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497738;ENGIN TRACTION;TRACTEUR INDUSTRIEL;;13/12/2017;Mise à disposition;FENWICK;PALES 220;PSA Vesoul;;01/01/2007;0773;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497739;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;PALES;E16C;PSA Vesoul;;01/01/1999;1090;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497740;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;FENWICK;E16C;PSA Vesoul;;01/01/1999;1094;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497741;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;FENWICK;E16C;PSA Vesoul;;01/01/2001;1156;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497742;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;HYSTER;J1.60;PSA Vesoul;;01/01/2002;1163;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497743;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;HYSTER;J1.60;PSA Vesoul;;01/01/2002;1167;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497744;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;HYSTER;J1.60;PSA Vesoul;;01/01/2002;1168;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497745;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;HYSTER;J1.60;PSA Vesoul;;01/01/2002;1170;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497746;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;FENWICK;HD16;PSA Vesoul;;01/01/2002;1185;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497747;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;CATERPILLAR;EP16KT;PSA Vesoul;;01/01/2002;1206;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497748;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;HYSTER;J1.60;PSA Vesoul;;01/01/2003;1222;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497749;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;HYSTER;J1.60;PSA Vesoul;;01/01/2003;1243;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497750;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;CATERPILLAR;EP16KT;PSA Vesoul;;01/01/2003;1257;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497751;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;CATERPILLAR;EP16KT;PSA Vesoul;;01/01/2007;1295;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497752;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;CATERPILLAR;EP16KT;PSA Vesoul;;01/01/2008;1307;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497753;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;CATERPILLAR;EP16KT;PSA Vesoul;;01/01/2003;1329;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497754;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;CATERPILLAR;EP16KT;PSA Vesoul;;01/01/2004;1334;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497755;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;FENWICK;E16C;PSA Vesoul;;01/01/2013;L1015;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497756;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;FENWICK;E16C;PSA Vesoul;;01/01/2013;L1020;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497757;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;FENWICK;E16C;PSA Vesoul;;01/01/2013;L1030;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497758;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;FENWICK;E16C;PSA Vesoul;;01/01/2013;L1033;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497759;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;FENWICK;E16C;PSA Vesoul;;01/01/2013;L1133;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497760;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;CATERPILLAR;EP16KT;PSA Vesoul;;01/01/2004;1264;;;;;;;;;;;
