CODE ARTICLE CEA;INTITULÉ;ADRESSE;NOMBRE D'UC;FAMILLE PRODUIT;FOURNISSEUR;REF FOURNISSEUR;STOCK MINIMUM;STOCK ALERTE;N° DE LOT; PRIX UNITAIRE ;DATE D'ENTRÉE; PRIX DU STOCK FINAL ;ALERTE MINI;ALERTE  PREVISION;PEREMPTIONS
SIL_200_153;SI_200_SOI_60-4µM_CZ_724µM_0.01-0.02_OHM.CM;E2_SIL;40;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_156A;SIL_200_PHOSPHORE<100>725µM_10.61-11.62-OHMS*CM;E2_SIL;25;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_157A;VERRE BOROFLOAT33-1000µM TTV<3µM;E2_SIL;23;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_158A;200MM_(111)_1000µM>6§KOHM.CM;E1_SIL;8;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_159A;200MM_(111)_725µM>5KOHM.CM;E1_SIL;0;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_160A;200MMSOI1500NM-17µM 568µM 5-15 OHMCM;E1_SIL;50;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_161;SOI_P/B(100)625µM_0.5-50µM_N/P(100)10-20_OHMCM;E1_SIL;25;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_162;SOI_P/B(100)625µM_0.5-100µM_N/P(100)10-20_OHMCM;E1_SIL;50;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_163;SIL_N+_ARSENIC_<111>_1.5-5OHM_DEPOT_ALN;A2_SIL;425;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_164;SIL_(100)725µM 1-2OHM*CM TTV3.5µM;E1_SIL;18;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_165;SOI 90µM-1µM_725µM_725-375_OHMS;E1_SIL;21;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_166;SOI 1µM BOX 1µM;E1_SIL;6;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_167;SOI 2µM-1µM_725_1-30_OHMS;E1_SIL;9;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_168;SOI 145NM-1000NM_725µM;E1_SIL;11;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_169;SOI 1000NM-1000NM_725µM;E1_SIL;6;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_170;SOI 60µM-1µM_CZ_(100)725µM_750-375OHM;;15;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_171;SOI 160NM-400NM_725µM_HR;;2;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_172;SOI 135µM-1µM_725µM_725-375_OHMS;;22;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_101;VERRE_BOROFLOAT33_700UM_DSP_TTV<5UM;;94;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_102;SILICIUM_P_MONITOR_CZ_<100>_775UM_1-100OHM_DSP;F1_SIL A F6_SIL;593;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_102;STOCK EN SAS SILICIUM_P_MONITOR_CZ_<100>_775UM_1-100OHM_DSP;SAS_SIL;593;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_102; STOCK RIVE SILICIUM_P_MONITOR_CZ_<100>_775UM_1-100OHM_DSP;RIVE_SIL;593;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_104;SILICIUM_P_EXTRA-PRIME_CZ_<100>_775UM_10-20OHM_DSP;;133;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_105;STOCK RIVE SILICIUM_P_PRIME_CZ_<100>_775UM_10-20OHM_DSP;RIVE_SIL;425;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_105;SILICIUM_P_PRIME_CZ_<100>_775UM_10-20OHM_DSP;;425;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_106;SILICIUM_N_PRIME_CZ_<100>_775UM_20-60OHM_DSP;;241;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_106; STOCK RIVE SILICIUM_N_PRIME_CZ_<100>_775UM_20-60OHM_DSP;RIVE_SIL;241;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_109;SILICIUM_RECYCLE-NON-CONTAMINE_GRADE_1_MINI-700UM;G1_SIL;284;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_109;STOCK EN SAS SILICIUM_RECYCLE-NON-CONTAMINE_GRADE_1_MINI-700UM;SAS_SIL;284;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_109;STOCK RIVE SILICIUM_RECYCLE-NON-CONTAMINE_GRADE_1_MINI-700UM;RIVE_SIL;284;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_110;STOCK RIVE SILICIUM_RECYCLE-NON-CONTAMINE_GRADE_2_MINI-700UM;RIVE_SIL;500;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_110;SILICIUM_RECYCLE-NON-CONTAMINE_GRADE_2_MINI-700UM;H1_SIL;500;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_117A;SOI_PRIME_12NM-25NM_P_CZ_<100>_775UM_10-15OHM_0°OF;;15;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_121;SI_SOI_PRIME_88NM-145NM_P_CZ_(100)_775µM_9-15OHM;;35;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_122;STOCK RIVE VERRE_BOROFLOAT33_500UM_DSP_TTV<5UM;RIVE_SIL;124;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_122;VERRE_BOROFLOAT33_500UM_DSP_TTV<5UM;;124;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_128;SOI_PRIME_16NM-145NM_P_CZ_<100>_775UM_10-15OHM_0°;;346;SILICIUM;;;;;; -   € ;; -   € ; ; ;
