CODE ARTICLE CEA;REGULATOR PARTS AVEC 2 VIS;ADRESSE;QTY FINAL
BAG_011;JOINT TORIQUE DRAIN CUP COATER 35*2 ;BAT 41G01D1;1
EMT_054;CHUCK INOX DEV 2 SOLVENT;BAT 41G01D1;4
EMT_I98;CAPACITIV SENSOR;BAT 41G01D1;11
EVA_F22;KIT TEACHING METHODE 3 POINT;BAT 41G01D1;4
JNT_267;PIN 300 MM CACUM;BAT 41G01D1;11
TTH_G47;PIN 300MM TIPED LIFT;BAT 41G01D1;0
VIS_040;SPACER LOT DE 10 PIECES;BAT 41G01D1;40
VIS_041;CARTE COMPACT FLASH CONTROLLEUR PLC (GAUCHE) ;BAT 41G01D1;24
EMT_052;JOINTPOUR VIDE BOUT ARBRE MOTEUR COATER ;BAT 41G01D2;14
EMT_S20;ENTRETOISE DE CENTRAGE COURONNE TEFLON COATER ;BAT 41G01D2;1
MEC_009;VIS 4*30 POUR COURONNE TEFLON COATER ;BAT 41G01D2;2
MEC_011;FILTRE-UNIT WAFERGARD N2 ;BAT 41G01D2;4
MEC_014;FILTRE N2 ENTRÉE ÉQUIPEMENT ;BAT 41G01D2;15
ROU_008;KIT PIN COATER V65972+V67599+V2819+G171098 ;BAT 41G01D2;1
ROU_009;GRAISSE ISOFLEX NBU15 LUBRIFICATION FOUR ;BAT 41G01D2;20
EMT_050;SORTIE A VISSER G 1/4 POUR FILTRE100056763 ;BAT 41G01D3;1
MEC_019;FILTRE N2 TYPE KA1V002PV3 0.1µ ;BAT 41G01D3;8
MEC_021;VIS PRISONNIÈRES COVER DE HOT PLATE;BAT 41G01D3;12
MEC_030;VIS 3*20 TF POUR CHUCK ;BAT 41G01D3;8
MEC_033;DRIVER BA;BAT 41G01D3;4
MEC_035;CHUCK COATER;BAT 41G01D3;2
MEC_037;MOTEUR SPINNER;BAT 41G01D3;1
MEC_038;CAMERA COGNEX ;BAT 41G01D3;4
MEC_041;FLOAT LEVEL SENSOR;BAT 41G01D3;1
MEC_046;AMPLIFIER BAE POUR DÉTECTEUR BULLE CPD ;BAT 41G01D3;4
COU_017;POMPE WAFERTEC ;BAT 41G01D4;1
COU_018;EPDM O RING ;BAT 41G01D4;2
COU_020;DISTRIB RING 2*BSRD= 314,5 * 21,5 ;BAT 41G01D4;1
JNT_175;RING COATER ;BAT 41G01D4;4
JNT_351;WAFER DE CALIBRATION ;BAT 41G01D4;7
COU_037;MASK CLAMPING;BAT 41G01E1;5
COU_040;OBJECTIF OPTIQUE X2.5 ;BAT 41G01E1;8
COU_041;JOINT ETANCHEITE RETICLE TABLE MA8 ;BAT 41G01E1;3
COU_F02;SENSOR WEC;BAT 41G01E1;5
COU_F05;TUBE ISO VERSINIC ;BAT 41G01E1;34
COU_F06;MIRROIR FROID 45°;BAT 41G01E1;2
COU_F07;MIRROIR FROID;BAT 41G01E1;17
COU_F08;PC BOARD MOTOR CONTROL ;BAT 41G01E1;32
COU_F13;MICROCONTROLLER 8B ;BAT 41G01E1;2
CHI_F01;MASQUE QUARTZ ;BAT 41G01E2;4
JNT_G74;POWER SUPPLY INSOLATING SYSTEM ;BAT 41G01E2;20
JNT_H02;PC BOARD ILLUMINATION MA8 ;BAT 41G01E2;7
