ADRESSE;FAMILLE PRODUIT;DATE;PROJET;DEMANDEUR;DATE FIN DE PROJET;LOT;SORTIE;COMMENTAIRE;JOURS DE PEREMPTION
STOCK_EXTERNE_B2;SIL_EXTERNE;;DTSIFONCTM3D;ALLOUTI;31/12/2015;T16S0552;;;121
STOCK_EXTERNE_B2;SIL_EXTERNE;;IRT3D LIFT;BRESSON;31/12/2027;T17S0470;;;-4262
STOCK_EXTERNE_B2;SIL_EXTERNE;;;BRUNET;00/01/1900;TEMOINS BRUNET/BESOMBES;;;42490
STOCK_EXTERNE_B2;SIL_EXTERNE;01/10/2018;MAGSENS;MAEDER ;31/12/2015;Z5891;;;121
STOCK_EXTERNE_B3;SIL_EXTERNE;;PANACHE;BERNASCONI;01/01/2018;AD522P;;;-611
STOCK_EXTERNE_B3;SIL_EXTERNE;;;Vincent Mazzocchi;00/01/1900;CENT300A-12;;;42490
STOCK_EXTERNE_B3;SIL_EXTERNE;;PIEZOMAT;DESLOGES;01/11/2016;D16S2039;;;-185
STOCK_EXTERNE_B3;SIL_EXTERNE;;;BANA;31/12/2016;FOSB B;;;-245
STOCK_EXTERNE_B3;SIL_EXTERNE;;COOLCUBE;DEPRAT;31/12/2017;Q524152 / T15S0307;;;-610
STOCK_EXTERNE_B3;SIL_EXTERNE;;;DEPRAT;31/12/2017;Q531226Q02/T15S0906;;;-610
STOCK_EXTERNE_B3;SIL_EXTERNE;;ARKEMA;CHAMIOT METRAL;30/11/2019;T15S0755;;;-1309
STOCK_EXTERNE_B3;SIL_EXTERNE;;IDEAL;ARGOUD;30/06/2015;T16S0396;;;305
STOCK_EXTERNE_B3;SIL_EXTERNE;;DOPTIIRTPHO;EL ZAMMAR;31/03/2017;T17S1254 CAT2;;;-335
STOCK_EXTERNE_B3;SIL_EXTERNE;;;;;D18S1136;;;42490
STOCK_EXTERNE_B3;SIL_EXTERNE;;;SAMSON;31/12/2016;Q507074Q04+Q12;;;-245
STOCK_EXTERNE_B4;SIL_EXTERNE;;;Vincent Mazzocchi;00/01/1900;CENT300A-14;;;42490
STOCK_EXTERNE_B4;SIL_EXTERNE;;;DTSI SPAT ETUDE;31/12/2015;D15S0053;;;121
STOCK_EXTERNE_B4;SIL_EXTERNE;;;KERDILES;00/01/1900;J517 / J527;;;42490
STOCK_EXTERNE_B4;SIL_EXTERNE;;;AH-LEUNG;00/01/1900;PLAQUES GARCIA SIOC;;;42490
STOCK_EXTERNE_B4;SIL_EXTERNE;;PLACES2BE;FENOUILLET;30/01/2015;Q336067.08 / T14S0375;;;456
;SIL_EXTERNE;;IRTPHOTONIQ LP3D;BRESSON;31/12/2019;Q604100Q11 / Q604100;43550;;
STOCK_EXTERNE_B4;SIL_EXTERNE;;PANACHE;BOIXDERAS;01/01/2018;T15S0517;;;-611
STOCK_EXTERNE_B4;SIL_EXTERNE;;DTSIfONCTM3D;ALLOUTI;31/12/2015;T16S0069 / 411;;;121
STOCK_EXTERNE_B4;SIL_EXTERNE;;ARKEMA;DELACHAT;30/11/2019;T16S0506/T16S0622;;;-1309
STOCK_EXTERNE_B4;SIL_EXTERNE;;;;;D18S0955;;;42490
STOCK_EXTERNE_B4;SIL_EXTERNE;;;NODIN;00/01/1900;Q249FFW;;;42490
STOCK_EXTERNE_B5;SIL_EXTERNE;;PANACHE;CARABASSE;01/01/2018;AC336P;;;-611
STOCK_EXTERNE_B5;SIL_EXTERNE;;PANACHE;BERNASCONI;01/01/2018;D14S1205;;;-611
STOCK_EXTERNE_B5;SIL_EXTERNE;;A3DN;THUAIRE;31/12/2015;D16S0993;;;121
STOCK_EXTERNE_B5;SIL_EXTERNE;;MAGSENS;MAEDER;31/12/2015;D16S1214A;;;121
STOCK_EXTERNE_B5;SIL_EXTERNE;;;LU;31/12/2017;Q507112Q13;;;-610
STOCK_EXTERNE_B5;SIL_EXTERNE;;;;;AC643P;;;42490
STOCK_EXTERNE_B5;SIL_EXTERNE;;;NOLOT;31/12/2017;2 PLQS Q3 SUIVI AG 2016;;;-610
STOCK_EXTERNE_C1;SIL_EXTERNE;;;ARGOUD;00/01/1900;1ER DEMO SCREEN LOW PTC;;;42490
STOCK_EXTERNE_C1;SIL_EXTERNE;;;AH LEUNG;00/01/1900;AH LEUNG SIN IRAD / SIGE ;;;42490
STOCK_EXTERNE_C1;SIL_EXTERNE;;PANACHE;BERNASCONI;01/01/2018;D14S1104;;;-611
STOCK_EXTERNE_C1;SIL_EXTERNE;;;LARDIN;00/01/1900;ETALON;;;42490
STOCK_EXTERNE_C1;SIL_EXTERNE;;;LARDIN;00/01/1900;ETALON;;;42490
